step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
202,0.01169,1.0,,,,
203,0.45021,0.94444,,,,
204,0.25324,0.94737,,,,
205,0.17849,0.93333,,,,
206,9e-05,1.0,,,,
207,1.11797,0.78049,,,,
208,0.17279,0.94253,,,,
209,0.0,1.0,,,,
210,0.67885,0.9,,,,
211,0.27775,0.96154,,,,
212,1.08195,0.73913,,,,
213,0.0958,0.95349,,,,
214,0.0,1.0,,,,
215,0.79816,0.875,,,,
216,0.00093,1.0,,,,
217,0.04575,0.97917,,,,
218,0.0,1.0,,,,
219,1.04331,0.85,,,,
220,0.46312,0.89744,,,,
221,0.54867,0.88372,,,,
222,0.23455,1.0,,,,
223,0.30967,0.89189,,,,
224,0.54756,0.87037,,,,
225,0.4441,0.9,,,,
226,0.58758,0.79592,,,,
227,0.60135,0.87342,,,,
228,0.00187,1.0,,,,
229,0.00677,1.0,,,,
230,0.00012,1.0,,,,
231,0.00259,1.0,,,,
232,0.01946,1.0,,,,
233,0.11488,0.95652,,,,
234,0.10019,0.95238,,,,
235,0.11481,0.96154,,,,
236,0.3977,0.88636,,,,
237,0.00521,1.0,,,,
238,0.14643,0.92754,,,,
239,0.23827,0.96,,,,
240,0.10224,0.95833,,,,
241,0.26797,0.925,,,,
242,0.16834,0.92,,,,
243,0.23758,0.8913,,,,
244,0.53299,0.96154,,,,
245,0.07102,1.0,,,,
246,0.60118,0.92857,,,,
247,0.85623,0.76829,,,,
248,0.00539,1.0,,,,
249,0.16561,0.95283,,,,
250,0.25344,0.91026,,,,
251,1.18857,0.76087,,,,
252,0.49994,0.82353,,,,
253,6e-05,1.0,,,,
254,0.78231,0.83333,,,,
255,0.09974,0.95652,,,,
256,0.09601,0.96429,,,,
257,0.32138,0.88889,,,,
258,0.3814,0.86842,,,,
259,0.54487,0.83193,,,,
260,0.00377,1.0,,,,
261,0.00022,1.0,,,,
262,0.24935,0.96774,,,,
263,0.03669,1.0,,,,
264,9e-05,1.0,,,,
265,0.00025,1.0,,,,
266,0.33505,0.92157,,,,
267,0.40183,0.94444,,,,
268,0.11551,0.97143,,,,
269,0.16538,0.96552,,,,
270,0.02994,1.0,,,,
271,3e-05,1.0,,,,
272,0.00507,1.0,,,,
273,0.18256,0.93939,,,,
274,1e-05,1.0,,,,
275,0.20729,0.93333,,,,
276,0.01639,1.0,,,,
277,0.17708,0.91489,,,,
